symbol,side,entry_time,exit_time,entry_price,exit_price,qty,sl,tp,pnl_bruto,comision,pnl_neto,resultado,capital_post,rsi_entrada,adx_entrada,htf_trend,pos_mult
ETHUSDT,LONG,2025-11-26 08:35:00+00:00,2025-11-26 08:55:00+00:00,2917.92,2909.983714285714,0.524214,2909.983714285714,2945.6970000000006,-12.4809,1.6803,-14.1612,LOSS,540.5475,22.55,25.37,BULLISH,0.5
ETHUSDT,LONG,2025-12-02 20:15:00+00:00,2025-12-02 20:25:00+00:00,2990.42,2981.5837142857144,0.458802,2981.5837142857144,3021.347,-12.1623,1.507,-13.6693,LOSS,526.8782,23.48,25.33,BULLISH,0.5
ETHUSDT,LONG,2025-12-02 20:25:00+00:00,2025-12-02 20:35:00+00:00,2982.87,2973.3197142857143,0.413766,2973.3197142857143,3016.296,-11.8548,1.3555,-13.2102,LOSS,513.668,23.16,33.58,BULLISH,0.5
ETHUSDT,LONG,2025-12-03 14:00:00+00:00,2025-12-03 14:35:00+00:00,3030.61,3075.979,0.594405,3017.647428571429,3075.979,80.9027,1.9964,78.9063,WIN,592.5743,25.96,21.03,BULLISH,1.0
ETHUSDT,SHORT,2025-12-07 15:55:00+00:00,2025-12-07 17:15:00+00:00,3025.89,3045.636,0.225074,3045.636,2956.779,-13.3329,0.7516,-14.0845,LOSS,578.4897,81.25,56.78,BEARISH,0.5
ETHUSDT,LONG,2025-12-09 20:20:00+00:00,2025-12-09 21:45:00+00:00,3315.99,3300.8785714285714,0.287112,3300.8785714285714,3368.8799999999997,-13.016,1.0449,-14.0609,LOSS,564.4288,26.52,82.94,BULLISH,0.5
ETHUSDT,SHORT,2025-12-11 18:40:00+00:00,2025-12-11 21:15:00+00:00,3230.82,3245.405142857143,0.290242,3245.405142857143,3179.772,-12.6997,1.0338,-13.7335,LOSS,550.6954,71.72,28.98,BEARISH,0.5
ETHUSDT,SHORT,2025-12-16 18:50:00+00:00,2025-12-17 01:15:00+00:00,2956.97,2968.9691428571427,0.344209,2968.9691428571427,2914.9729999999995,-12.3906,1.1219,-13.5125,LOSS,537.1829,74.72,55.13,BEARISH,0.5
ETHUSDT,SHORT,2025-12-23 16:15:00+00:00,2025-12-23 17:55:00+00:00,2957.84,2908.187,0.283992,2972.0265714285715,2908.187,42.3032,0.9162,41.3869,WIN,578.5698,79.44,45.25,BEARISH,0.5
ETHUSDT,SHORT,2025-12-23 20:35:00+00:00,2025-12-23 20:40:00+00:00,2962.13,2970.0157142857142,0.55027,2970.0157142857142,2934.53,-13.0178,1.7954,-14.8132,LOSS,563.7566,81.32,33.71,BEARISH,0.5
ETHUSDT,SHORT,2025-12-23 20:40:00+00:00,2025-12-24 02:10:00+00:00,2978.64,2945.976,0.453056,2987.9725714285714,2945.976,44.3959,1.4763,42.9196,WIN,606.6762,89.95,32.52,BEARISH,0.5
ETHUSDT,SHORT,2025-12-24 16:30:00+00:00,2025-12-24 17:30:00+00:00,2941.5,2953.4391428571425,0.762211,2953.4391428571425,2899.7130000000006,-27.3004,2.4713,-29.7717,LOSS,576.9045,71.52,18.91,BEARISH,1.0
ETHUSDT,LONG,2025-12-29 09:40:00+00:00,2025-12-29 09:45:00+00:00,2969.49,2959.5934285714284,0.4372,2959.5934285714284,3004.128,-12.9803,1.4257,-14.4061,LOSS,562.4984,13.71,63.47,BULLISH,0.5
ETHUSDT,LONG,2025-12-31 15:15:00+00:00,2025-12-31 16:40:00+00:00,2974.24,2962.7654285714284,0.73532,2962.7654285714284,3014.401,-25.3124,2.4011,-27.7135,LOSS,534.7849,7.9,23.75,BULLISH,1.0
ETHUSDT,LONG,2026-01-06 16:25:00+00:00,2026-01-06 17:45:00+00:00,3247.1,3232.058,0.266646,3232.058,3299.747,-12.0327,0.9502,-12.9829,LOSS,521.802,23.75,56.23,BULLISH,0.5
ETHUSDT,SHORT,2026-01-08 17:00:00+00:00,2026-01-08 17:55:00+00:00,3124.1,3136.002285714286,0.657607,3136.002285714286,3082.4419999999996,-23.4811,2.2642,-25.7453,LOSS,496.0568,75.35,19.9,BEARISH,1.0
ETHUSDT,LONG,2026-01-14 11:10:00+00:00,2026-01-14 11:35:00+00:00,3297.32,3288.728,0.43301,3288.728,3327.3920000000003,-11.1613,1.5685,-12.7298,LOSS,483.327,23.68,72.69,BULLISH,0.5
ETHUSDT,LONG,2026-01-14 17:50:00+00:00,2026-01-14 18:15:00+00:00,3339.45,3324.342857142857,0.23995,3324.342857142857,3392.325,-10.8749,0.8794,-11.7543,LOSS,471.5727,25.69,36.99,BULLISH,0.5
ETHUSDT,SHORT,2026-01-21 14:30:00+00:00,2026-01-21 15:15:00+00:00,2990.01,3007.7580000000003,0.199279,3007.7580000000003,2927.8920000000003,-10.6104,0.6574,-11.2678,LOSS,460.3049,81.76,40.7,BEARISH,0.5
ETHUSDT,LONG,2026-01-28 14:45:00+00:00,2026-01-28 14:50:00+00:00,3014.04,3005.214857142857,0.782375,3005.214857142857,3044.9280000000003,-20.7137,2.5901,-23.3038,LOSS,437.0011,28.09,18.56,BULLISH,1.0
ETHUSDT,SHORT,2026-02-01 18:05:00+00:00,2026-02-01 18:20:00+00:00,2352.59,2370.977428571429,0.178247,2370.977428571429,2288.234,-9.8325,0.4631,-10.2956,LOSS,426.7055,71.53,56.51,BEARISH,0.5
ETHUSDT,SHORT,2026-02-02 09:35:00+00:00,2026-02-02 09:45:00+00:00,2287.53,2303.123142857143,0.410474,2303.123142857143,2232.954,-19.2017,1.0364,-20.2381,LOSS,406.4673,76.12,12.49,BEARISH,1.0
ETHUSDT,SHORT,2026-02-02 09:45:00+00:00,2026-02-02 13:55:00+00:00,2314.45,2331.6442857142856,0.354595,2331.6442857142856,2254.27,-18.291,0.9061,-19.1971,LOSS,387.2702,79.77,10.6,BEARISH,1.0
ETHUSDT,SHORT,2026-02-03 20:30:00+00:00,2026-02-03 21:00:00+00:00,2294.34,2322.881142857143,0.203533,2322.881142857143,2194.4460000000004,-17.4272,0.5169,-17.9441,LOSS,369.3261,85.19,8.91,BEARISH,1.0
ETHUSDT,SHORT,2026-02-05 09:05:00+00:00,2026-02-05 10:50:00+00:00,2138.91,2096.826,0.230368,2150.9339999999997,2096.826,29.0844,0.5367,28.5477,WIN,397.8739,88.89,49.84,BEARISH,0.5
ETHUSDT,SHORT,2026-02-05 14:35:00+00:00,2026-02-05 15:00:00+00:00,2097.31,2036.0680000000002,0.341079,2114.807714285714,2036.0680000000002,62.6651,0.7754,61.8897,WIN,459.7636,73.06,16.84,BEARISH,1.0
ETHUSDT,LONG,2026-02-08 16:45:00+00:00,2026-02-08 16:50:00+00:00,2081.53,2072.3765714285714,0.376714,2072.3765714285714,2113.567,-10.3447,0.8607,-11.2053,LOSS,448.5582,28.01,84.05,BULLISH,0.5
ETHUSDT,SHORT,2026-02-11 14:10:00+00:00,2026-02-11 14:50:00+00:00,2002.63,1946.0500000000002,0.416213,2018.7957142857144,1946.0500000000002,70.648,0.9039,69.7441,WIN,518.3023,79.0,23.15,BEARISH,1.0
ETHUSDT,LONG,2026-02-15 08:30:00+00:00,2026-02-15 12:45:00+00:00,2060.07,2051.2825714285714,0.442367,2051.2825714285714,2090.8260000000005,-11.6618,1.0003,-12.6621,LOSS,505.6402,29.12,34.25,BULLISH,0.5
ETHUSDT,SHORT,2026-02-16 09:35:00+00:00,2026-02-16 11:10:00+00:00,1991.95,1971.529,0.649971,1997.7845714285716,1971.529,39.8192,1.4169,38.4023,WIN,544.0425,74.42,31.05,BEARISH,0.5
ETHUSDT,SHORT,2026-02-18 15:35:00+00:00,2026-02-18 18:20:00+00:00,2003.7,1956.2310000000002,0.300851,2017.2625714285714,1956.2310000000002,42.8433,0.6552,42.188,WIN,586.2305,73.09,57.41,BEARISH,0.5
ETHUSDT,SHORT,2026-02-23 09:35:00+00:00,2026-02-23 09:45:00+00:00,1907.78,1914.35,0.669213,1914.35,1884.785,-13.1902,1.4068,-14.597,LOSS,571.6336,79.1,34.58,BEARISH,0.5
ETHUSDT,LONG,2026-02-26 14:45:00+00:00,2026-02-26 15:15:00+00:00,2039.52,2028.6162857142856,0.393192,2028.6162857142856,2077.683,-12.8618,0.8798,-13.7415,LOSS,557.892,26.66,35.18,BULLISH,0.5
ETHUSDT,LONG,2026-02-26 15:15:00+00:00,2026-02-26 16:35:00+00:00,2022.7,2007.4651428571428,0.274646,2007.4651428571428,2076.0220000000004,-12.5526,0.6088,-13.1614,LOSS,544.7307,29.0,43.58,BULLISH,0.5
ETHUSDT,LONG,2026-03-01 08:50:00+00:00,2026-03-01 09:00:00+00:00,1984.1,1977.3954285714285,0.609357,1977.3954285714285,2007.5659999999998,-12.2564,1.3277,-13.5841,LOSS,531.1466,29.06,55.26,BULLISH,0.5
ETHUSDT,LONG,2026-03-01 16:45:00+00:00,2026-03-01 16:50:00+00:00,1972.62,1961.3811428571428,0.354449,1961.3811428571428,2011.9560000000001,-11.9508,0.7669,-12.7177,LOSS,518.4288,23.84,66.24,BULLISH,0.5
ETHUSDT,LONG,2026-03-04 11:35:00+00:00,2026-03-04 12:15:00+00:00,2053.65,2044.6062857142858,0.429936,2044.6062857142858,2085.3030000000003,-11.6647,0.9691,-12.6337,LOSS,505.7951,24.05,47.03,BULLISH,0.5
ETHUSDT,LONG,2026-03-04 20:55:00+00:00,2026-03-04 22:40:00+00:00,2149.36,2139.387142857143,0.380379,2139.387142857143,2184.2650000000003,-11.3804,0.8972,-12.2776,LOSS,493.5175,23.55,39.18,BULLISH,0.5
ETHUSDT,LONG,2026-03-09 11:15:00+00:00,2026-03-09 12:20:00+00:00,1982.68,2006.047,0.554407,1976.0037142857143,2006.047,38.8645,1.2163,37.6482,WIN,531.1657,18.07,53.91,BULLISH,0.5
ETHUSDT,LONG,2026-03-10 18:10:00+00:00,2026-03-10 18:15:00+00:00,2048.59,2037.6571428571428,0.364383,2037.6571428571428,2086.8550000000005,-11.9512,0.8189,-12.7702,LOSS,518.3955,26.64,43.5,BULLISH,0.5
ETHUSDT,LONG,2026-03-16 08:40:00+00:00,2026-03-16 09:45:00+00:00,2236.43,2266.85,0.447333,2227.7385714285715,2266.85,40.8236,1.108,39.7157,WIN,558.1112,28.55,71.26,BULLISH,0.5
ETHUSDT,SHORT,2026-03-18 17:25:00+00:00,2026-03-18 17:35:00+00:00,2197.36,2206.147428571429,0.476343,2206.147428571429,2166.6040000000003,-12.5575,1.1537,-13.7112,LOSS,544.4,74.35,55.42,BEARISH,0.5
ETHUSDT,SHORT,2026-03-18 17:35:00+00:00,2026-03-18 18:05:00+00:00,2209.65,2218.8728571428574,0.442704,2218.8728571428574,2177.37,-12.249,1.0783,-13.3273,LOSS,531.0727,79.82,51.65,BEARISH,0.5
ETHUSDT,LONG,2026-03-23 15:50:00+00:00,2026-03-23 16:20:00+00:00,2133.0,2120.383714285714,0.315707,2120.383714285714,2177.157,-11.9491,0.7386,-12.6877,LOSS,518.385,22.51,48.31,BULLISH,0.5
ETHUSDT,LONG,2026-03-25 15:05:00+00:00,2026-03-25 15:15:00+00:00,2161.8,2152.9997142857146,0.441791,2152.9997142857146,2192.601,-11.6637,1.0484,-12.7121,LOSS,505.6729,24.07,43.79,BULLISH,0.5
ETHUSDT,LONG,2026-03-25 15:15:00+00:00,2026-03-25 16:25:00+00:00,2151.48,2184.834,0.397971,2141.9502857142857,2184.834,39.8218,0.9491,38.8726,WIN,544.5456,19.41,52.12,BULLISH,0.5
ETHUSDT,SHORT,2026-03-26 20:10:00+00:00,2026-03-27 04:00:00+00:00,2071.05,2044.3080000000004,0.534527,2078.6905714285717,2044.3080000000004,42.883,1.2099,41.6731,WIN,586.2187,77.0,45.05,BEARISH,0.5
ETHUSDT,LONG,2026-03-30 17:20:00+00:00,2026-03-30 17:25:00+00:00,2043.65,2036.413142857143,0.607534,2036.413142857143,2068.979,-13.1899,1.3633,-14.5532,LOSS,571.6654,22.07,42.82,BULLISH,0.5
ETHUSDT,SHORT,2026-04-02 14:40:00+00:00,2026-04-04 19:15:00+00:00,2069.58,2082.383142857143,0.669756,2082.383142857143,2024.769,-25.7249,1.5294,-27.2544,LOSS,544.411,78.58,19.75,BEARISH,1.0
ETHUSDT,LONG,2026-04-06 16:55:00+00:00,2026-04-06 17:00:00+00:00,2139.3,2132.1745714285717,1.14606,2132.1745714285717,2164.2390000000005,-24.4985,2.6925,-27.191,LOSS,517.2201,27.01,16.24,BULLISH,1.0
ETHUSDT,LONG,2026-04-08 14:05:00+00:00,2026-04-08 14:30:00+00:00,2222.25,2210.039142857143,0.31768,2210.039142857143,2264.9880000000003,-11.6374,0.7744,-12.4119,LOSS,504.8082,28.77,26.42,BULLISH,0.5
ETHUSDT,LONG,2026-04-08 14:30:00+00:00,2026-04-08 14:50:00+00:00,2204.67,2191.1074285714285,0.279155,2191.1074285714285,2252.139,-11.3582,0.6749,-12.0331,LOSS,492.7751,22.88,51.81,BULLISH,0.5
ETHUSDT,LONG,2026-04-14 15:05:00+00:00,2026-04-14 17:35:00+00:00,2337.96,2322.33,0.236456,2322.33,2392.665,-11.0874,0.6061,-11.6935,LOSS,481.0816,18.49,39.82,BULLISH,0.5
ETHUSDT,LONG,2026-04-16 08:05:00+00:00,2026-04-16 10:05:00+00:00,2334.2,2328.849714285714,0.674377,2328.849714285714,2352.926,-10.8243,1.7296,-12.5539,LOSS,468.5277,17.63,80.17,BULLISH,0.5
ETHUSDT,SHORT,2026-04-23 15:20:00+00:00,2026-04-23 17:05:00+00:00,2339.82,2311.77,0.438462,2347.8342857142857,2311.77,36.8966,1.1218,35.7748,WIN,504.3026,75.01,37.25,BEARISH,0.5
ETHUSDT,SHORT,2026-05-27 15:30:00+00:00,2026-05-27 17:10:00+00:00,2075.18,2054.267,1.266001,2081.1551428571424,2054.267,79.4276,2.8753,76.5523,WIN,580.8549,87.84,21.89,BEARISH,1.0
